"departement","nb.catnat","nb.catnat_10ans","nb.catnat_5ans","nb.catnat_1ans","durée","duree_10ans","duree_5ans","duree_1ans","risque"
"01",3970,57,37,5,6.71963276836158,1.125,1.52777777777778,0.2,"Inondation"
"02",17993,218,179,20,5.56240938447344,1.21617161716172,1.45858585858586,0.05,"Inondation"
"03",9210,64,25,16,3.46107784431138,0.290322580645161,0.520833333333333,0.5,"Inondation"
"04",2626,115,89,11,1.28088235294118,0.774193548387097,0.816901408450704,0.0555555555555556,"Inondation"
"05",509,31,18,5,1.84375,0.166666666666667,0.117647058823529,0,"Inondation"
"06",36305,355,208,11,1.8918360761536,1.05892857142857,1.03692614770459,0.909090909090909,"Inondation"
"07",19999,447,92,39,2.23284710967045,1.07668439716312,0.285714285714286,0.105263157894737,"Inondation"
"08",14844,172,127,4,6.83191721132898,1.08438818565401,1.48082595870206,0,"Inondation"
"09",7526,152,118,64,2.6973026973027,1.77027027027027,1.86206896551724,2.92063492063492,"Inondation"
"10",4413,289,168,21,5.34520884520885,10.5707547169811,16.252,0.177083333333333,"Inondation"
"11",47841,655,501,12,2.30093696763203,1.02487961476726,0.886221294363257,0.727272727272727,"Inondation"
"12",4717,109,46,9,2.2109479305741,0.994736842105263,0.545454545454545,0.222222222222222,"Inondation"
"13",14558,158,130,29,1.83523206751055,0.769953051643192,0.907246376811594,0.435897435897436,"Inondation"
"14",15101,125,96,9,6.17394145321485,0.322314049586777,0.347826086956522,0.777777777777778,"Inondation"
"15",4131,27,23,0,3.22624113475177,0.942307692307692,1.11363636363636,NA,"Inondation"
"16",12171,122,76,5,8.61007862759114,2.60593220338983,4.14189189189189,0,"Inondation"
"17",23357,129,96,8,9.11048588781708,1.45238095238095,1.93548387096774,0,"Inondation"
"18",8774,146,20,13,3.34472934472934,4.10955710955711,0.703703703703704,1.15151515151515,"Inondation"
"19",6113,34,26,6,3.24698795180723,0.403225806451613,0.543478260869565,0.333333333333333,"Inondation"
"21",4389,289,76,7,5.177736202058,2.74363636363636,6.08219178082192,1.57142857142857,"Inondation"
"22",9521,89,54,3,7.41903914590747,1.24705882352941,1.20192307692308,0,"Inondation"
"23",2419,17,15,8,3.76373626373626,0.176470588235294,0.2,0.375,"Inondation"
"24",26592,129,121,34,3.69294967613353,1.18548387096774,1.26724137931034,1.52941176470588,"Inondation"
"25",8827,126,45,5,7.09497549019608,2.59322033898305,7.89473684210526,0.2,"Inondation"
"26",18165,102,53,38,3.04955970790378,0.215686274509804,0.283018867924528,0.394736842105263,"Inondation"
"27",7960,231,192,5,6.18030973451327,3.98679867986799,4.63394683026585,0.8,"Inondation"
"28",3905,160,115,8,4.79920212765957,1.15972222222222,0.868686868686869,0.875,"Inondation"
"29",9965,163,28,6,4.61137975499678,1.57037037037037,0.214285714285714,0.5,"Inondation"
"2A",2744,181,103,37,1.46829710144928,1.40229885057471,1.455,0.972222222222222,"Inondation"
"2B",12776,459,132,68,1.14542214912281,1.04057279236277,1.07364341085271,0.930769230769231,"Inondation"
"30",32862,340,124,13,1.94523713826367,1.40189873417722,1.23478260869565,0.791666666666667,"Inondation"
"31",37595,328,213,98,4.31002497324295,1.30806451612903,1.21463414634146,2.20618556701031,"Inondation"
"32",18679,331,264,115,2.31566472742943,0.80518018018018,0.86039886039886,1.38317757009346,"Inondation"
"33",55016,482,355,50,4.31815135759676,2.28064516129032,2.60174418604651,0.551020408163265,"Inondation"
"34",32537,741,257,51,2.409375,1.11218985976268,1.04588394062078,1.39007092198582,"Inondation"
"35",6995,166,104,17,4.29929193899782,0.588028169014085,0.361742424242424,0.0625,"Inondation"
"36",9129,143,10,0,8.62885906040268,5.17957746478873,0,NA,"Inondation"
"37",7642,134,33,5,8.24868421052632,3.6015037593985,0.242424242424242,0.6,"Inondation"
"38",20555,181,107,32,4.38780394409343,0.947674418604651,0.331683168316832,0.321428571428571,"Inondation"
